Chromosome,Source,Start,End,Strand,gene_id,gene_name,gene_type,hgnc_id
chr1,HAVANA,2555638,2565382,+,ENSG00000157873.18,TNFRSF14,protein_coding,HGNC:11912
chr1,HAVANA,2586490,2591469,+,ENSG00000157870.17,PRXL2B,protein_coding,HGNC:28390
chr1,HAVANA,3021466,3022903,+,ENSG00000169717.7,ACTRT2,protein_coding,HGNC:24026
chr1,HAVANA,3069167,3438621,+,ENSG00000142611.17,PRDM16,protein_coding,HGNC:14000
chr1,HAVANA,3454664,3481113,+,ENSG00000130762.15,ARHGEF16,protein_coding,HGNC:15515
chr1,HAVANA,3625014,3630127,+,ENSG00000158109.15,TPRG1L,protein_coding,HGNC:27007
chr1,HAVANA,3652515,3736201,+,ENSG00000078900.16,TP73,protein_coding,HGNC:12003
chr1,HAVANA,3746459,3771645,+,ENSG00000162592.10,CCDC27,protein_coding,HGNC:26546
chr1,HAVANA,3772748,3775982,+,ENSG00000235169.11,SMIM1,protein_coding,HGNC:44204
chr1,HAVANA,3857266,3885429,+,ENSG00000169598.17,DFFB,protein_coding,HGNC:2773
chr1,HAVANA,4654608,4792534,+,ENSG00000196581.11,AJAP1,protein_coding,HGNC:30801
chr1,HAVANA,5990926,6101193,+,ENSG00000069424.16,KCNAB2,protein_coding,HGNC:6229
chr1,HAVANA,6205474,6221299,+,ENSG00000158286.13,RNF207,protein_coding,HGNC:32947
chr1,HAVANA,6244178,6245578,+,ENSG00000173673.9,HES3,protein_coding,HGNC:26226
chr1,HAVANA,6424775,6461367,+,ENSG00000187017.18,ESPN,protein_coding,HGNC:13281
chr1,HAVANA,6555306,6579755,+,ENSG00000173662.21,TAS1R1,protein_coding,HGNC:14448
chr1,HAVANA,6579993,6589280,+,ENSG00000204859.13,ZBTB48,protein_coding,HGNC:4930
chr1,HAVANA,6613730,6624030,+,ENSG00000116273.6,PHF13,protein_coding,HGNC:22983
chr1,HAVANA,6624867,6635586,+,ENSG00000041988.16,THAP3,protein_coding,HGNC:20855
chr1,HAVANA,6785453,7769706,+,ENSG00000171735.21,CAMTA1,protein_coding,HGNC:18806
chr1,HAVANA,7771295,7781432,+,ENSG00000049245.13,VAMP3,protein_coding,HGNC:12644
chr1,HAVANA,7784290,7845177,+,ENSG00000049246.15,PER3,protein_coding,HGNC:8847
chr1,HAVANA,7954290,7985505,+,ENSG00000116288.13,PARK7,protein_coding,HGNC:16369
chr1,HAVANA,8318113,8344167,+,ENSG00000162426.16,SLC45A1,protein_coding,HGNC:17939
chr1,HAVANA,8945866,8975092,+,ENSG00000131686.15,CA6,protein_coding,HGNC:1380
chr1,HAVANA,9234773,9271337,+,ENSG00000049239.13,H6PD,protein_coding,HGNC:4795
chr1,HAVANA,9292893,9369532,+,ENSG00000171621.14,SPSB1,protein_coding,HGNC:30628
chr1,HAVANA,9539464,9585173,+,ENSG00000171612.7,SLC25A33,protein_coding,HGNC:29681
chr1,HAVANA,9588910,9614877,+,ENSG00000188807.13,TMEM201,protein_coding,HGNC:33719
chr1,HAVANA,9629888,9729114,+,ENSG00000171608.18,PIK3CD,protein_coding,HGNC:8977
chr1,HAVANA,9943427,9985501,+,ENSG00000173614.14,NMNAT1,protein_coding,HGNC:17877
chr1,HAVANA,9997205,10016021,+,ENSG00000162444.12,RBP7,protein_coding,HGNC:30316
chr1,HAVANA,10032831,10181239,+,ENSG00000130939.20,UBE4B,protein_coding,HGNC:12500
chr1,HAVANA,10210569,10381603,+,ENSG00000054523.20,KIF1B,protein_coding,HGNC:16636
chr1,HAVANA,10398591,10420511,+,ENSG00000142657.21,PGD,protein_coding,HGNC:8891
chr1,HAVANA,10430101,10452153,+,ENSG00000251503.8,CENPS-CORT,protein_coding,HGNC:38843
chr1,HAVANA,10430432,10442808,+,ENSG00000175279.22,CENPS,protein_coding,HGNC:23163
chr1,HAVANA,10450030,10451998,+,ENSG00000241563.4,CORT,protein_coding,HGNC:2257
chr1,HAVANA,10472287,10630758,+,ENSG00000142655.13,PEX14,protein_coding,HGNC:8856
chr1,HAVANA,11012343,11030528,+,ENSG00000120948.19,TARDBP,protein_coding,HGNC:11571
chr1,HAVANA,11189354,11195981,+,ENSG00000171819.5,ANGPTL7,protein_coding,HGNC:24078
chr1,HAVANA,11273197,11296049,+,ENSG00000120942.14,UBIAD1,protein_coding,HGNC:30791
chr1,HAVANA,11479154,11537551,+,ENSG00000204624.8,DISP3,protein_coding,HGNC:29251
chr1,HAVANA,11654374,11663327,+,ENSG00000132879.14,FBXO44,protein_coding,HGNC:24847
chr1,HAVANA,11664199,11674354,+,ENSG00000116663.11,FBXO6,protein_coding,HGNC:13585
chr1,HAVANA,11691709,11725857,+,ENSG00000162490.7,DRAXIN,protein_coding,HGNC:25054
chr1,HAVANA,11736083,11754802,+,ENSG00000177674.16,AGTRAP,protein_coding,HGNC:13539
chr1,HAVANA,11761786,11789585,+,ENSG00000215910.8,C1orf167,protein_coding,HGNC:25262
chr1,HAVANA,11806095,11848079,+,ENSG00000011021.23,CLCN6,protein_coding,HGNC:2024
chr1,HAVANA,11934204,11975538,+,ENSG00000083444.17,PLOD1,protein_coding,HGNC:9081
chr1,HAVANA,11980180,12015211,+,ENSG00000116688.18,MFN2,protein_coding,HGNC:16877
chr1,HAVANA,12019465,12032045,+,ENSG00000116691.11,MIIP,protein_coding,HGNC:25715
chr1,HAVANA,12063302,12144207,+,ENSG00000120949.15,TNFRSF8,protein_coding,HGNC:11923
chr1,HAVANA,12166990,12209228,+,ENSG00000028137.19,TNFRSF1B,protein_coding,HGNC:11917
chr1,HAVANA,12230029,12512047,+,ENSG00000048707.15,VPS13D,protein_coding,HGNC:23595
chr1,HAVANA,12644084,12667076,+,ENSG00000204518.3,AADACL4,protein_coding,HGNC:32038
chr1,HAVANA,12716109,12728760,+,ENSG00000188984.12,AADACL3,protein_coding,HGNC:32037
chr1,HAVANA,12746199,12763699,+,ENSG00000157330.10,CFAP107,protein_coding,HGNC:28567
chr1,HAVANA,12773737,12777906,+,ENSG00000116726.5,PRAMEF12,protein_coding,HGNC:22125
chr1,HAVANA,12791396,12796628,+,ENSG00000116721.9,PRAMEF1,protein_coding,HGNC:28840
chr1,HAVANA,12857085,12861909,+,ENSG00000120952.4,PRAMEF2,protein_coding,HGNC:28841
chr1,HAVANA,12916609,12920751,+,ENSG00000204510.6,PRAMEF7,protein_coding,HGNC:28415
chr1,HAVANA,13060768,13062878,+,ENSG00000277058.3,HNRNPCL3,protein_coding,HGNC:51235
chr1,HAVANA,13068676,13077884,+,ENSG00000229571.7,PRAMEF25,protein_coding,HGNC:49179
chr1,HAVANA,13171847,13179459,+,ENSG00000204505.5,PRAMEF9,protein_coding,HGNC:27996
chr1,HAVANA,13254197,13263435,+,ENSG00000270601.5,PRAMEF5,protein_coding,HGNC:27995
chr1,HAVANA,13303538,13308907,+,ENSG00000237700.2,PRAMEF33,protein_coding,HGNC:49193
chr1,HAVANA,13315580,13322598,+,ENSG00000204501.7,PRAMEF15,protein_coding,HGNC:26764
chr1,HAVANA,13389631,13392629,+,ENSG00000204479.4,PRAMEF17,protein_coding,HGNC:29485
chr1,HAVANA,13410449,13421328,+,ENSG00000204478.11,PRAMEF20,protein_coding,HGNC:25224
chr1,HAVANA,13583464,13617957,+,ENSG00000162493.17,PDPN,protein_coding,HGNC:29602
chr1,HAVANA,13700187,13825079,+,ENSG00000116731.23,PRDM2,protein_coding,HGNC:9347
chr1,HAVANA,13892791,15118043,+,ENSG00000189337.17,KAZN,protein_coding,HGNC:29173
chr1,HAVANA,15152531,15220478,+,ENSG00000171729.14,TMEM51,protein_coding,HGNC:25488
chr1,HAVANA,15236520,15400283,+,ENSG00000142621.21,FHAD1,protein_coding,HGNC:29408
chr1,HAVANA,15409887,15430339,+,ENSG00000142634.13,EFHD2,protein_coding,HGNC:28670
chr1,HAVANA,15438441,15449242,+,ENSG00000162438.12,CTRC,protein_coding,HGNC:2523
chr1,HAVANA,15456727,15472091,+,ENSG00000142615.8,CELA2A,protein_coding,HGNC:24609
chr1,HAVANA,15465908,15491395,+,ENSG00000215704.10,CELA2B,protein_coding,HGNC:29995
chr1,HAVANA,15526812,15592379,+,ENSG00000116138.13,DNAJC16,protein_coding,HGNC:29157
chr1,HAVANA,15617457,15669044,+,ENSG00000197312.13,DDI2,protein_coding,HGNC:24578
chr1,HAVANA,15659712,15662033,+,ENSG00000215695.2,RSC1A1,protein_coding,HGNC:10458
chr1,HAVANA,15684319,15734769,+,ENSG00000116786.13,PLEKHM2,protein_coding,HGNC:29131
chr1,HAVANA,15736257,15741392,+,ENSG00000162461.8,SLC25A34,protein_coding,HGNC:27653
chr1,HAVANA,15742498,15747982,+,ENSG00000162460.7,TMEM82,protein_coding,HGNC:32350
chr1,HAVANA,15756606,15786594,+,ENSG00000162458.13,FBLIM1,protein_coding,HGNC:24686
chr1,HAVANA,15836094,15940456,+,ENSG00000065526.13,SPEN,protein_coding,HGNC:17575
chr1,HAVANA,16004235,16008807,+,ENSG00000183888.4,SRARP,protein_coding,HGNC:28339
chr1,HAVANA,16018874,16034050,+,ENSG00000186510.12,CLCNKA,protein_coding,HGNC:2026
chr1,HAVANA,16040251,16057311,+,ENSG00000184908.20,CLCNKB,protein_coding,HGNC:2027
chr1,HAVANA,16352574,16398145,+,ENSG00000055070.17,SZRD1,protein_coding,HGNC:30232
chr1,HAVANA,16440720,16460078,+,ENSG00000157191.20,NECAP2,protein_coding,HGNC:25528
chr1,HAVANA,16740272,16972964,+,ENSG00000058453.17,CROCC,protein_coding,HGNC:21299
chr1,HAVANA,17205127,17246007,+,ENSG00000142623.11,PADI1,protein_coding,HGNC:18367
chr1,HAVANA,17249097,17284233,+,ENSG00000142619.4,PADI3,protein_coding,HGNC:18337
chr1,HAVANA,17308194,17364004,+,ENSG00000159339.13,PADI4,protein_coding,HGNC:18368
chr1,HAVANA,17372195,17401699,+,ENSG00000276747.1,PADI6,protein_coding,HGNC:20449
chr1,HAVANA,17539697,17697874,+,ENSG00000074964.17,ARHGEF10L,protein_coding,HGNC:25540
chr1,HAVANA,17755332,17827063,+,ENSG00000117148.8,ACTL8,protein_coding,HGNC:24018
chr1,HAVANA,18107797,18378483,+,ENSG00000117154.12,IGSF21,protein_coding,HGNC:28246
chr1,HAVANA,18480929,18485974,+,ENSG00000179023.9,KLHDC7A,protein_coding,HGNC:26791
chr1,HAVANA,18630845,18748866,+,ENSG00000009709.13,PAX7,protein_coding,HGNC:8621
chr1,HAVANA,19251804,19260128,+,ENSG00000053372.5,MRTO4,protein_coding,HGNC:18477
chr1,HAVANA,19312325,19329300,+,ENSG00000040487.13,SLC66A1,protein_coding,HGNC:26001
chr1,HAVANA,19484402,19629821,+,ENSG00000173436.15,MICOS10,protein_coding,HGNC:32068
chr1,HAVANA,19596978,19658456,+,ENSG00000158747.15,NBL1,protein_coding,HGNC:7650
chr1,HAVANA,19597066,19656927,+,ENSG00000270136.6,MICOS10-NBL1,protein_coding,HGNC:48338
chr1,HAVANA,19664874,19680966,+,ENSG00000158748.4,HTR6,protein_coding,HGNC:5301
chr1,HAVANA,19882394,19912945,+,ENSG00000169914.6,OTUD3,protein_coding,HGNC:29038
chr1,HAVANA,20028178,20091911,+,ENSG00000127472.11,PLA2G5,protein_coding,HGNC:9038
chr1,HAVANA,20139322,20150381,+,ENSG00000158786.5,PLA2G2F,protein_coding,HGNC:30040
chr1,HAVANA,20186095,20196050,+,ENSG00000162543.6,UBXN10,protein_coding,HGNC:26354
chr1,HAVANA,20290874,20359518,+,ENSG00000158816.16,VWA5B1,protein_coding,HGNC:26538
chr1,HAVANA,20552572,20555020,+,ENSG00000183114.8,FAM43B,protein_coding,HGNC:31791
chr1,HAVANA,20589085,20618903,+,ENSG00000158825.6,CDA,protein_coding,HGNC:1712
chr1,HAVANA,20633457,20651511,+,ENSG00000158828.8,PINK1,protein_coding,HGNC:14581
chr1,HAVANA,21440127,21485005,+,ENSG00000142794.19,NBPF3,protein_coding,HGNC:25076
chr1,HAVANA,21509396,21578410,+,ENSG00000162551.14,ALPL,protein_coding,HGNC:438
chr1,HAVANA,21547403,21554002,+,ENSG00000289715.1,ENSG00000289715,protein_coding,
chr1,HAVANA,21812264,21825225,+,ENSG00000187942.12,LDLRAD2,protein_coding,HGNC:32071
chr1,HAVANA,21977021,21998642,+,ENSG00000219073.8,CELA3B,protein_coding,HGNC:15945
chr1,HAVANA,22001656,22012542,+,ENSG00000142789.20,CELA3A,protein_coding,HGNC:15944
chr1,HAVANA,22025141,22092943,+,ENSG00000289694.1,ENSG00000289694,protein_coding,
chr1,HAVANA,22052626,22101360,+,ENSG00000070831.18,CDC42,protein_coding,HGNC:1736
chr1,HAVANA,22428837,22531157,+,ENSG00000184677.18,ZBTB40,protein_coding,HGNC:29045
chr1,HAVANA,22563488,22603595,+,ENSG00000070886.12,EPHA8,protein_coding,HGNC:3391
chr1,HAVANA,22635076,22639678,+,ENSG00000173372.18,C1QA,protein_coding,HGNC:1241
chr1,HAVANA,22636505,22644067,+,ENSG00000289692.1,ENSG00000289692,protein_coding,
chr1,HAVANA,22643013,22648110,+,ENSG00000159189.13,C1QC,protein_coding,HGNC:1245
chr1,HAVANA,22652761,22661637,+,ENSG00000173369.18,C1QB,protein_coding,HGNC:1242
chr1,HAVANA,22710838,22921500,+,ENSG00000133216.17,EPHB2,protein_coding,HGNC:3393
chr1,HAVANA,23019442,23083689,+,ENSG00000004487.18,KDM1A,protein_coding,HGNC:29079
chr1,HAVANA,23691741,23696835,+,ENSG00000142676.14,RPL11,protein_coding,HGNC:10301
chr1,HAVANA,23743447,23762059,+,ENSG00000011007.13,ELOA,protein_coding,HGNC:11620
chr1,HAVANA,23778417,23788232,+,ENSG00000057757.10,PITHD1,protein_coding,HGNC:25022
chr1,HAVANA,23791109,23795539,+,ENSG00000011009.12,LYPLA2,protein_coding,HGNC:6738
chr1,HAVANA,23956838,23963462,+,ENSG00000189266.13,PNRC2,protein_coding,HGNC:23158
chr1,HAVANA,24199557,24364482,+,ENSG00000158055.17,GRHL3,protein_coding,HGNC:25839
chr1,HAVANA,24415801,24472976,+,ENSG00000001461.17,NIPAL3,protein_coding,HGNC:25233
chr1,HAVANA,24502350,24541040,+,ENSG00000117602.13,RCAN3,protein_coding,HGNC:3042
chr1,HAVANA,24556086,24609328,+,ENSG00000184454.7,NCMAP,protein_coding,HGNC:29332
chr1,HAVANA,24631715,24673281,+,ENSG00000133226.19,SRRM1,protein_coding,HGNC:16638
chr1,HAVANA,24745381,24844321,+,ENSG00000169504.15,CLIC4,protein_coding,HGNC:13518
chr1,HAVANA,25272392,25330445,+,ENSG00000187010.21,RHD,protein_coding,HGNC:10009
chr1,HAVANA,25338316,25362361,+,ENSG00000183726.11,TMEM50A,protein_coding,HGNC:30590
chr1,HAVANA,25430857,25500209,+,ENSG00000204178.11,MACO1,protein_coding,HGNC:25572
chr1,HAVANA,25543605,25568886,+,ENSG00000157978.12,LDLRAP1,protein_coding,HGNC:18640
chr1,HAVANA,25616790,25784450,+,ENSG00000117643.16,MAN1C1,protein_coding,HGNC:19080
chr1,HAVANA,25800192,25818221,+,ENSG00000162430.18,SELENON,protein_coding,HGNC:15999
chr1,HAVANA,25811469,25823744,+,ENSG00000255054.3,ENSG00000255054,protein_coding,
chr1,HAVANA,25818639,25832942,+,ENSG00000117640.18,MTFR1L,protein_coding,HGNC:28836
chr1,HAVANA,26019883,26036464,+,ENSG00000158008.10,EXTL1,protein_coding,HGNC:3515
chr1,HAVANA,26111164,26125555,+,ENSG00000175087.10,PDIK1L,protein_coding,HGNC:18981
chr1,HAVANA,26159078,26163962,+,ENSG00000197245.6,FAM110D,protein_coding,HGNC:25860
chr1,HAVANA,26169907,26170873,+,ENSG00000142684.9,ZNF593,protein_coding,HGNC:30943
chr1,HAVANA,26177483,26189884,+,ENSG00000142675.18,CNKSR1,protein_coding,HGNC:19700
chr1,HAVANA,26190560,26202968,+,ENSG00000188782.9,CATSPER4,protein_coding,HGNC:23220
chr1,HAVANA,26234199,26278808,+,ENSG00000130695.16,CEP85,protein_coding,HGNC:25309
chr1,HAVANA,26280085,26281522,+,ENSG00000142669.15,SH3BGRL3,protein_coding,HGNC:15568
chr1,HAVANA,26317957,26320523,+,ENSG00000169442.9,CD52,protein_coding,HGNC:1804
chr1,HAVANA,26410816,26429728,+,ENSG00000131914.11,LIN28A,protein_coding,HGNC:15986
chr1,HAVANA,26432281,26471306,+,ENSG00000117682.18,DHDDS,protein_coding,HGNC:20603
chr1,HAVANA,26472439,26476642,+,ENSG00000198830.12,HMGN2,protein_coding,HGNC:4986
chr1,HAVANA,26529760,26575030,+,ENSG00000117676.14,RPS6KA1,protein_coding,HGNC:10430
chr1,HAVANA,26693235,26782104,+,ENSG00000117713.21,ARID1A,protein_coding,HGNC:11110
chr1,HAVANA,26787053,26800659,+,ENSG00000060642.12,PIGV,protein_coding,HGNC:26031
chr1,HAVANA,26826687,26857604,+,ENSG00000204160.12,ZDHHC18,protein_coding,HGNC:20712
chr1,HAVANA,26863148,26864456,+,ENSG00000175793.12,SFN,protein_coding,HGNC:10773
chr1,HAVANA,26900237,26946871,+,ENSG00000090273.14,NUDC,protein_coding,HGNC:8045
chr1,HAVANA,26993691,27000886,+,ENSG00000253368.4,TRNP1,protein_coding,HGNC:34348
chr1,HAVANA,27234631,27308636,+,ENSG00000142784.16,WDTC1,protein_coding,HGNC:29175
chr1,HAVANA,27322144,27336400,+,ENSG00000186501.15,TMEM222,protein_coding,HGNC:25363
chr1,HAVANA,27342019,27353937,+,ENSG00000142765.18,SYTL1,protein_coding,HGNC:15584
chr1,HAVANA,27392621,27395814,+,ENSG00000181773.7,GPR3,protein_coding,HGNC:4484
chr1,HAVANA,27725960,27763116,+,ENSG00000009780.16,FAM76A,protein_coding,HGNC:28530
chr1,HAVANA,27773218,27824443,+,ENSG00000117758.14,STX12,protein_coding,HGNC:11430
chr1,HAVANA,27830781,27851676,+,ENSG00000117751.18,PPP1R8,protein_coding,HGNC:9296
chr1,HAVANA,27872542,27886685,+,ENSG00000130775.16,THEMIS2,protein_coding,HGNC:16839
chr1,HAVANA,27934999,27959157,+,ENSG00000130768.15,SMPDL3B,protein_coding,HGNC:21416
chr1,HAVANA,27959587,27968093,+,ENSG00000158156.9,XKR8,protein_coding,HGNC:25508
chr1,HAVANA,28236108,28246906,+,ENSG00000130770.18,ATP5IF1,protein_coding,HGNC:871
chr1,HAVANA,28259517,28282491,+,ENSG00000130766.5,SESN2,protein_coding,HGNC:20746
chr1,HAVANA,28329001,28335965,+,ENSG00000130772.14,MED18,protein_coding,HGNC:25944
chr1,HAVANA,28369581,28500364,+,ENSG00000204138.13,PHACTR4,protein_coding,HGNC:25793
chr1,HAVANA,28505942,28539300,+,ENSG00000180198.17,RCC1,protein_coding,HGNC:1913
chr1,HAVANA,28553084,28578545,+,ENSG00000180098.9,TRNAU1AP,protein_coding,HGNC:30813
chr1,HAVANA,28592199,28595449,+,ENSG00000188060.8,RAB42,protein_coding,HGNC:28702
chr1,HAVANA,28668777,28719353,+,ENSG00000162419.13,GMEB1,protein_coding,HGNC:4370
chr1,HAVANA,28736620,28769775,+,ENSG00000198492.16,YTHDF2,protein_coding,HGNC:31675
chr1,HAVANA,28812169,28871267,+,ENSG00000116329.12,OPRD1,protein_coding,HGNC:8153
chr1,HAVANA,28887090,29120046,+,ENSG00000159023.23,EPB41,protein_coding,HGNC:3377
chr1,HAVANA,29236515,29326813,+,ENSG00000060656.20,PTPRU,protein_coding,HGNC:9683
chr1,HAVANA,31296981,31364953,+,ENSG00000121766.16,ZCCHC17,protein_coding,HGNC:30246
chr1,HAVANA,31409564,31434680,+,ENSG00000168528.12,SERINC2,protein_coding,HGNC:23231
chr1,HAVANA,31576484,31587686,+,ENSG00000142910.16,TINAGL1,protein_coding,HGNC:19168
chr1,HAVANA,31617685,31632518,+,ENSG00000121764.12,HCRTR1,protein_coding,HGNC:4848
chr1,HAVANA,32013867,32060850,+,ENSG00000121774.18,KHDRBS1,protein_coding,HGNC:18116
chr1,HAVANA,32072030,32102866,+,ENSG00000121775.18,TMEM39B,protein_coding,HGNC:25510
chr1,HAVANA,32108055,32176563,+,ENSG00000025800.14,KPNA6,protein_coding,HGNC:6399
chr1,HAVANA,32179674,32198285,+,ENSG00000084652.16,TXLNA,protein_coding,HGNC:30685
chr1,HAVANA,32200594,32205453,+,ENSG00000160050.16,CCDC28B,protein_coding,HGNC:28163
chr1,HAVANA,32205670,32208682,+,ENSG00000160051.12,IQCC,protein_coding,HGNC:25545
chr1,HAVANA,32209088,32216192,+,ENSG00000222046.3,DCDC2B,protein_coding,HGNC:32576
chr1,HAVANA,32221076,32245397,+,ENSG00000084623.12,EIF3I,protein_coding,HGNC:3272
chr1,HAVANA,32247221,32248856,+,ENSG00000183615.6,FAM167B,protein_coding,HGNC:28133
chr1,HAVANA,32251243,32286165,+,ENSG00000182866.18,LCK,protein_coding,HGNC:6524
chr1,HAVANA,32292082,32333635,+,ENSG00000116478.12,HDAC1,protein_coding,HGNC:4852
chr1,HAVANA,32351520,32364312,+,ENSG00000162526.7,TSSK3,protein_coding,HGNC:15473
chr1,HAVANA,32465056,32600792,+,ENSG00000254553.1,ENSG00000254553,protein_coding,
chr1,HAVANA,32465071,32496686,+,ENSG00000273274.2,ZBTB8B,protein_coding,HGNC:37057
chr1,HAVANA,32539426,32605941,+,ENSG00000160062.15,ZBTB8A,protein_coding,HGNC:24172
chr1,HAVANA,32651141,32686211,+,ENSG00000162521.19,RBBP4,protein_coding,HGNC:9887
chr1,HAVANA,32741829,32774970,+,ENSG00000162522.11,NHSL3,protein_coding,HGNC:29301
chr1,HAVANA,32816766,32858875,+,ENSG00000116497.18,S100PBP,protein_coding,HGNC:25768
chr1,HAVANA,32885993,32898441,+,ENSG00000121905.10,HPCA,protein_coding,HGNC:5144
chr1,HAVANA,33081103,33123492,+,ENSG00000142920.18,AZIN2,protein_coding,HGNC:29957
chr1,HAVANA,33256491,33300719,+,ENSG00000160094.15,ZNF362,protein_coding,HGNC:18079
chr1,HAVANA,33472644,33501643,+,ENSG00000121903.15,ZSCAN20,protein_coding,HGNC:13093
chr1,HAVANA,33860474,33864791,+,ENSG00000176256.11,HMGB4,protein_coding,HGNC:24954
chr1,HAVANA,34166882,34219131,+,ENSG00000142698.15,C1orf94,protein_coding,HGNC:28250
chr1,HAVANA,34755046,34758512,+,ENSG00000189280.3,GJB5,protein_coding,HGNC:4287
chr1,HAVANA,34759739,34762327,+,ENSG00000189433.7,GJB4,protein_coding,HGNC:4286
chr1,HAVANA,34781213,34786369,+,ENSG00000188910.8,GJB3,protein_coding,HGNC:4285
chr1,HAVANA,34792998,34795747,+,ENSG00000187513.9,GJA4,protein_coding,HGNC:4278
chr1,HAVANA,35032171,35115859,+,ENSG00000197056.11,ZMYM1,protein_coding,HGNC:26253
chr1,HAVANA,35268708,35422058,+,ENSG00000146463.12,ZMYM4,protein_coding,HGNC:13055
chr1,HAVANA,35557472,35567274,+,ENSG00000020129.16,NCDN,protein_coding,HGNC:17597
chr1,HAVANA,35573313,35595328,+,ENSG00000116819.9,TFAP2E,protein_coding,HGNC:30774
chr1,HAVANA,35808015,35857890,+,ENSG00000134698.11,AGO4,protein_coding,HGNC:18424
chr1,HAVANA,35869807,35930532,+,ENSG00000092847.14,AGO1,protein_coding,HGNC:3262
chr1,HAVANA,35930717,36072500,+,ENSG00000126070.20,AGO3,protein_coding,HGNC:18421
chr1,HAVANA,36084093,36088275,+,ENSG00000092850.12,TEKT2,protein_coding,HGNC:11725
chr1,HAVANA,36088891,36093932,+,ENSG00000116863.11,ADPRS,protein_coding,HGNC:21304
chr1,HAVANA,36155578,36180849,+,ENSG00000116871.16,MAP7D1,protein_coding,HGNC:25514
chr1,HAVANA,36224431,36305357,+,ENSG00000054118.15,THRAP3,protein_coding,HGNC:22964
chr1,HAVANA,36306367,36329340,+,ENSG00000214193.11,SH3D21,protein_coding,HGNC:26236
chr1,HAVANA,37474579,37484377,+,ENSG00000163874.11,ZC3H12A,protein_coding,HGNC:26259
chr1,HAVANA,37556918,37566857,+,ENSG00000163879.11,DNALI1,protein_coding,HGNC:14353
chr1,HAVANA,37692480,37709719,+,ENSG00000134690.11,CDCA8,protein_coding,HGNC:14629
chr1,HAVANA,37793846,37801137,+,ENSG00000185090.15,MANEAL,protein_coding,HGNC:26452
chr1,HAVANA,37806978,37809454,+,ENSG00000197982.14,C1orf122,protein_coding,HGNC:24789
chr1,HAVANA,38009257,38024820,+,ENSG00000183520.12,UTP11,protein_coding,HGNC:24329
chr1,HAVANA,38991275,39006059,+,ENSG00000174574.16,AKIRIN1,protein_coding,HGNC:25744
chr1,HAVANA,39026317,39034636,+,ENSG00000168653.11,NDUFS5,protein_coding,HGNC:7712
chr1,HAVANA,39081315,39487177,+,ENSG00000127603.32,MACF1,protein_coding,HGNC:13664
chr1,HAVANA,39491635,39529869,+,ENSG00000183682.8,BMP8A,protein_coding,HGNC:21650
chr1,HAVANA,39692181,39763914,+,ENSG00000084072.17,PPIE,protein_coding,HGNC:9258
